example_vamb_bin_24	example_contig_44862
example_vamb_bin_131	example_contig_23036
example_vamb_bin_131	example_contig_78718
example_vamb_bin_131	example_contig_45021
example_vamb_bin_131	example_contig_10322
example_vamb_bin_131	example_contig_62106
example_vamb_bin_131	example_contig_15610
example_vamb_bin_131	example_contig_72922
example_vamb_bin_131	example_contig_30386
example_vamb_bin_131	example_contig_67050
example_vamb_bin_131	example_contig_3193
example_vamb_bin_131	example_contig_36366
example_vamb_bin_131	example_contig_21322
example_vamb_bin_131	example_contig_36665
example_vamb_bin_131	example_contig_63105
example_vamb_bin_131	example_contig_53022
example_vamb_bin_131	example_contig_68779
example_vamb_bin_131	example_contig_77659
example_vamb_bin_131	example_contig_846
example_vamb_bin_131	example_contig_2644
example_vamb_bin_131	example_contig_63385
example_vamb_bin_131	example_contig_10115
example_vamb_bin_131	example_contig_48141
example_vamb_bin_131	example_contig_48680
example_vamb_bin_131	example_contig_52151
example_vamb_bin_131	example_contig_30780
example_vamb_bin_131	example_contig_77367
example_vamb_bin_131	example_contig_15034
example_vamb_bin_131	example_contig_779
example_vamb_bin_131	example_contig_6182
example_vamb_bin_131	example_contig_66029
example_vamb_bin_131	example_contig_51432
example_vamb_bin_131	example_contig_65833
example_vamb_bin_131	example_contig_35263
example_vamb_bin_131	example_contig_19618
example_vamb_bin_131	example_contig_45807
example_vamb_bin_131	example_contig_41103
example_vamb_bin_131	example_contig_75034
example_vamb_bin_131	example_contig_49262
example_vamb_bin_131	example_contig_62401
example_vamb_bin_131	example_contig_64220
example_vamb_bin_131	example_contig_51971
example_vamb_bin_131	example_contig_42857
example_vamb_bin_131	example_contig_68212
example_vamb_bin_131	example_contig_10543
example_vamb_bin_131	example_contig_42077
example_vamb_bin_131	example_contig_37896
example_vamb_bin_131	example_contig_50903
example_vamb_bin_131	example_contig_67696
example_vamb_bin_131	example_contig_9450
example_vamb_bin_131	example_contig_32437
example_vamb_bin_131	example_contig_3635
example_vamb_bin_131	example_contig_74991
example_vamb_bin_131	example_contig_21898
example_vamb_bin_131	example_contig_63367
example_vamb_bin_131	example_contig_49804
example_vamb_bin_131	example_contig_7760
example_vamb_bin_131	example_contig_77315
example_vamb_bin_131	example_contig_31359
example_vamb_bin_131	example_contig_73992
example_vamb_bin_131	example_contig_28961
example_vamb_bin_131	example_contig_77683
example_vamb_bin_131	example_contig_44150
example_vamb_bin_131	example_contig_34912
example_vamb_bin_131	example_contig_32652
example_vamb_bin_131	example_contig_65496
example_vamb_bin_131	example_contig_30030
example_vamb_bin_131	example_contig_60380
example_vamb_bin_131	example_contig_2720
example_vamb_bin_131	example_contig_57245
example_vamb_bin_131	example_contig_17729
example_vamb_bin_131	example_contig_65379
example_vamb_bin_131	example_contig_4998
example_vamb_bin_131	example_contig_62244
example_vamb_bin_131	example_contig_41327
example_vamb_bin_131	example_contig_12906
example_vamb_bin_131	example_contig_31943
example_vamb_bin_131	example_contig_53646
example_vamb_bin_131	example_contig_76524
example_vamb_bin_131	example_contig_36689
example_vamb_bin_131	example_contig_46400
example_vamb_bin_131	example_contig_58402
example_vamb_bin_131	example_contig_19815
example_vamb_bin_131	example_contig_42643
example_vamb_bin_131	example_contig_68746
example_vamb_bin_131	example_contig_68093
example_vamb_bin_131	example_contig_55136
example_vamb_bin_131	example_contig_49153
example_vamb_bin_131	example_contig_5840
example_vamb_bin_131	example_contig_48490
example_vamb_bin_131	example_contig_71200
example_vamb_bin_131	example_contig_15841
example_vamb_bin_131	example_contig_8596
example_vamb_bin_131	example_contig_59289
example_vamb_bin_131	example_contig_14957
example_vamb_bin_131	example_contig_48781
example_vamb_bin_131	example_contig_25818
example_vamb_bin_131	example_contig_33947
example_vamb_bin_131	example_contig_63540
example_vamb_bin_131	example_contig_592
example_vamb_bin_131	example_contig_58278
example_vamb_bin_131	example_contig_15572
example_vamb_bin_131	example_contig_37636
example_vamb_bin_131	example_contig_71842
example_vamb_bin_131	example_contig_46920
example_vamb_bin_131	example_contig_3379
example_vamb_bin_131	example_contig_61878
example_vamb_bin_131	example_contig_75828
example_vamb_bin_131	example_contig_15137
example_vamb_bin_131	example_contig_62042
example_vamb_bin_131	example_contig_46935
example_vamb_bin_131	example_contig_6271
example_vamb_bin_131	example_contig_61884
example_vamb_bin_131	example_contig_68671
example_vamb_bin_131	example_contig_22534
example_vamb_bin_131	example_contig_7226
example_vamb_bin_131	example_contig_18333
example_vamb_bin_131	example_contig_4706
example_vamb_bin_131	example_contig_36338
example_vamb_bin_131	example_contig_64516
example_vamb_bin_131	example_contig_37554
example_vamb_bin_131	example_contig_25534
example_vamb_bin_131	example_contig_68808
example_vamb_bin_131	example_contig_22298
example_vamb_bin_131	example_contig_9206
example_vamb_bin_131	example_contig_30356
example_vamb_bin_131	example_contig_52771
example_vamb_bin_131	example_contig_8474
example_vamb_bin_131	example_contig_8781
example_vamb_bin_131	example_contig_14028
example_vamb_bin_131	example_contig_69931
example_vamb_bin_131	example_contig_77848
example_vamb_bin_131	example_contig_35634
example_vamb_bin_131	example_contig_40402
example_vamb_bin_131	example_contig_21292
example_vamb_bin_131	example_contig_40973
example_vamb_bin_131	example_contig_21593
example_vamb_bin_131	example_contig_69901
example_vamb_bin_131	example_contig_42937
example_vamb_bin_131	example_contig_12038
example_vamb_bin_131	example_contig_9224
example_vamb_bin_131	example_contig_52724
example_vamb_bin_131	example_contig_29836
example_vamb_bin_131	example_contig_78432
example_vamb_bin_131	example_contig_8000
example_vamb_bin_131	example_contig_75834
example_vamb_bin_131	example_contig_57515
example_vamb_bin_131	example_contig_53029
example_vamb_bin_131	example_contig_51499
example_vamb_bin_131	example_contig_81016
example_vamb_bin_131	example_contig_30185
example_vamb_bin_131	example_contig_13275
example_vamb_bin_131	example_contig_47932
example_vamb_bin_131	example_contig_79710
example_vamb_bin_131	example_contig_71413
example_vamb_bin_131	example_contig_20472
example_vamb_bin_131	example_contig_2675
example_vamb_bin_131	example_contig_45128
example_vamb_bin_131	example_contig_22986
example_vamb_bin_131	example_contig_30336
example_vamb_bin_131	example_contig_76765
example_vamb_bin_131	example_contig_70681
example_vamb_bin_131	example_contig_70531
example_vamb_bin_131	example_contig_471
example_vamb_bin_131	example_contig_37840
example_vamb_bin_131	example_contig_18685
example_vamb_bin_131	example_contig_9151
example_vamb_bin_131	example_contig_48682
example_vamb_bin_131	example_contig_74920
example_vamb_bin_131	example_contig_31916
example_vamb_bin_131	example_contig_2518
example_vamb_bin_131	example_contig_51139
example_vamb_bin_131	example_contig_44609
example_vamb_bin_131	example_contig_67823
example_vamb_bin_131	example_contig_5929
example_vamb_bin_131	example_contig_25139
example_vamb_bin_131	example_contig_11699
example_vamb_bin_131	example_contig_60583
example_vamb_bin_131	example_contig_39871
example_vamb_bin_131	example_contig_71930
example_vamb_bin_131	example_contig_15000
example_vamb_bin_131	example_contig_77162
example_vamb_bin_131	example_contig_40757
example_vamb_bin_131	example_contig_60168
example_vamb_bin_131	example_contig_22904
example_vamb_bin_131	example_contig_77478
example_vamb_bin_131	example_contig_16605
example_vamb_bin_139	example_contig_11661
example_vamb_bin_139	example_contig_71571
example_vamb_bin_139	example_contig_70599
example_vamb_bin_139	example_contig_22462
example_vamb_bin_139	example_contig_47783
example_vamb_bin_139	example_contig_52066
example_vamb_bin_139	example_contig_74414
example_vamb_bin_139	example_contig_15020
example_vamb_bin_139	example_contig_12257
example_vamb_bin_139	example_contig_35318
example_vamb_bin_139	example_contig_21794
example_vamb_bin_139	example_contig_30951
example_vamb_bin_139	example_contig_35945
example_vamb_bin_139	example_contig_32708
example_vamb_bin_139	example_contig_52162
example_vamb_bin_139	example_contig_15513
example_vamb_bin_139	example_contig_23278
example_vamb_bin_139	example_contig_10497
example_vamb_bin_139	example_contig_5113
example_vamb_bin_139	example_contig_29287
example_vamb_bin_139	example_contig_67415
example_vamb_bin_139	example_contig_1792
example_vamb_bin_139	example_contig_1275
example_vamb_bin_139	example_contig_39906
example_vamb_bin_139	example_contig_57280
example_vamb_bin_139	example_contig_1559
example_vamb_bin_139	example_contig_71919
example_vamb_bin_139	example_contig_77345
example_vamb_bin_139	example_contig_63141
example_vamb_bin_139	example_contig_100
example_vamb_bin_139	example_contig_77781
example_vamb_bin_139	example_contig_60443
example_vamb_bin_139	example_contig_4198
example_vamb_bin_139	example_contig_56292
example_vamb_bin_139	example_contig_74080
example_vamb_bin_139	example_contig_71344
example_vamb_bin_139	example_contig_32372
example_vamb_bin_139	example_contig_28737
example_vamb_bin_139	example_contig_27052
example_vamb_bin_139	example_contig_44632
example_vamb_bin_139	example_contig_14213
example_vamb_bin_139	example_contig_32273
example_vamb_bin_139	example_contig_69891
example_vamb_bin_139	example_contig_44582
example_vamb_bin_139	example_contig_23854
example_vamb_bin_139	example_contig_19039
example_vamb_bin_139	example_contig_61640
example_vamb_bin_139	example_contig_60000
example_vamb_bin_139	example_contig_38945
example_vamb_bin_139	example_contig_68961
example_vamb_bin_139	example_contig_4725
example_vamb_bin_139	example_contig_17105
example_vamb_bin_139	example_contig_26612
example_vamb_bin_139	example_contig_46755
example_vamb_bin_139	example_contig_40742
example_vamb_bin_139	example_contig_11673
example_vamb_bin_139	example_contig_43933
example_vamb_bin_139	example_contig_57435
example_vamb_bin_139	example_contig_17541
example_vamb_bin_139	example_contig_15130
example_vamb_bin_139	example_contig_73073
example_vamb_bin_139	example_contig_31631
example_vamb_bin_139	example_contig_61809
example_vamb_bin_139	example_contig_12139
example_vamb_bin_139	example_contig_1763
example_vamb_bin_139	example_contig_1785
example_vamb_bin_139	example_contig_1442
example_vamb_bin_139	example_contig_76080
example_vamb_bin_139	example_contig_21156
example_vamb_bin_139	example_contig_76324
example_vamb_bin_139	example_contig_46716
example_vamb_bin_139	example_contig_4742
example_vamb_bin_139	example_contig_9196
example_vamb_bin_139	example_contig_43231
example_vamb_bin_139	example_contig_69834
example_vamb_bin_139	example_contig_75055
example_vamb_bin_139	example_contig_10834
example_vamb_bin_139	example_contig_45472
example_vamb_bin_139	example_contig_52158
example_vamb_bin_139	example_contig_64004
example_vamb_bin_139	example_contig_56139
example_vamb_bin_139	example_contig_75664
example_vamb_bin_139	example_contig_13011
example_vamb_bin_139	example_contig_70569
example_vamb_bin_139	example_contig_46161
example_vamb_bin_139	example_contig_74972
example_vamb_bin_139	example_contig_43402
example_vamb_bin_139	example_contig_56490
example_vamb_bin_139	example_contig_18175
example_vamb_bin_139	example_contig_4491
example_vamb_bin_139	example_contig_73033
example_vamb_bin_139	example_contig_72123
example_vamb_bin_139	example_contig_53786
example_vamb_bin_139	example_contig_13379
example_vamb_bin_139	example_contig_59635
example_vamb_bin_139	example_contig_9465
example_vamb_bin_139	example_contig_31245
example_vamb_bin_139	example_contig_70230
example_vamb_bin_139	example_contig_78433
example_vamb_bin_139	example_contig_69360
example_vamb_bin_139	example_contig_13495
example_vamb_bin_139	example_contig_76336
example_vamb_bin_139	example_contig_55192
example_vamb_bin_139	example_contig_47564
example_vamb_bin_139	example_contig_75104
example_vamb_bin_139	example_contig_42775
example_vamb_bin_139	example_contig_58764
example_vamb_bin_139	example_contig_38040
example_vamb_bin_139	example_contig_55239
example_vamb_bin_139	example_contig_22960
example_vamb_bin_139	example_contig_9097
example_vamb_bin_139	example_contig_39116
example_vamb_bin_139	example_contig_23294
example_vamb_bin_139	example_contig_76252
example_vamb_bin_139	example_contig_10174
example_vamb_bin_139	example_contig_24140
example_vamb_bin_139	example_contig_220
example_vamb_bin_139	example_contig_22233
example_vamb_bin_139	example_contig_30271
example_vamb_bin_139	example_contig_16064
example_vamb_bin_139	example_contig_33285
example_vamb_bin_139	example_contig_58001
example_vamb_bin_139	example_contig_4682
example_vamb_bin_139	example_contig_57532
example_vamb_bin_139	example_contig_18131
example_vamb_bin_139	example_contig_64035
example_vamb_bin_139	example_contig_55467
example_vamb_bin_139	example_contig_71212
example_vamb_bin_139	example_contig_69911
example_vamb_bin_139	example_contig_68466
example_vamb_bin_139	example_contig_73489
example_vamb_bin_139	example_contig_63179
example_vamb_bin_139	example_contig_57522
example_vamb_bin_139	example_contig_50957
example_vamb_bin_139	example_contig_2505
example_vamb_bin_139	example_contig_56119
example_vamb_bin_139	example_contig_72354
example_vamb_bin_139	example_contig_75858
example_vamb_bin_139	example_contig_19205
example_vamb_bin_139	example_contig_8157
example_vamb_bin_139	example_contig_18145
example_vamb_bin_139	example_contig_42371
example_vamb_bin_139	example_contig_25163
example_vamb_bin_139	example_contig_3184
example_vamb_bin_139	example_contig_53101
example_vamb_bin_139	example_contig_76273
example_vamb_bin_139	example_contig_22569
example_vamb_bin_139	example_contig_40364
example_vamb_bin_139	example_contig_75216
example_vamb_bin_139	example_contig_39977
example_vamb_bin_139	example_contig_36484
example_vamb_bin_139	example_contig_78350
example_vamb_bin_139	example_contig_34826
example_vamb_bin_139	example_contig_34239
example_vamb_bin_139	example_contig_7982
example_vamb_bin_139	example_contig_50813
example_vamb_bin_139	example_contig_33065
example_vamb_bin_139	example_contig_51985
example_vamb_bin_139	example_contig_64218
example_vamb_bin_139	example_contig_50212
example_vamb_bin_139	example_contig_69438
example_vamb_bin_139	example_contig_13092
example_vamb_bin_139	example_contig_48614
example_vamb_bin_139	example_contig_30675
example_vamb_bin_139	example_contig_32141
example_vamb_bin_139	example_contig_2127
example_vamb_bin_139	example_contig_56136
example_vamb_bin_139	example_contig_46278
example_vamb_bin_139	example_contig_70135
example_vamb_bin_139	example_contig_30852
example_vamb_bin_139	example_contig_38738
example_vamb_bin_139	example_contig_38230
example_vamb_bin_139	example_contig_39078
example_vamb_bin_139	example_contig_3983
example_vamb_bin_139	example_contig_8064
example_vamb_bin_139	example_contig_2654
example_vamb_bin_139	example_contig_63153
example_vamb_bin_139	example_contig_56241
example_vamb_bin_139	example_contig_56654
example_vamb_bin_139	example_contig_54394
example_vamb_bin_139	example_contig_62818
example_vamb_bin_139	example_contig_65453
example_vamb_bin_139	example_contig_14186
example_vamb_bin_139	example_contig_2492
example_vamb_bin_139	example_contig_80393
example_vamb_bin_139	example_contig_47380
example_vamb_bin_139	example_contig_43722
example_vamb_bin_139	example_contig_55030
example_vamb_bin_139	example_contig_34289
example_vamb_bin_139	example_contig_18498
example_vamb_bin_139	example_contig_4722
example_vamb_bin_139	example_contig_25595
example_vamb_bin_139	example_contig_66442
example_vamb_bin_139	example_contig_18389
example_vamb_bin_139	example_contig_77633
example_vamb_bin_139	example_contig_34673
example_vamb_bin_139	example_contig_43367
example_vamb_bin_139	example_contig_4563
example_vamb_bin_139	example_contig_65568
example_vamb_bin_139	example_contig_9239
example_vamb_bin_139	example_contig_50158
example_vamb_bin_139	example_contig_23855
example_vamb_bin_139	example_contig_7793
example_vamb_bin_139	example_contig_33480
example_vamb_bin_139	example_contig_50389
example_vamb_bin_139	example_contig_25235
example_vamb_bin_139	example_contig_1383
example_vamb_bin_139	example_contig_53824
example_vamb_bin_139	example_contig_78313
example_vamb_bin_139	example_contig_44198
example_vamb_bin_139	example_contig_14986
example_vamb_bin_139	example_contig_50742
example_vamb_bin_139	example_contig_51287
example_vamb_bin_139	example_contig_12299
example_vamb_bin_139	example_contig_93
example_vamb_bin_139	example_contig_34374
example_vamb_bin_139	example_contig_20419
example_vamb_bin_139	example_contig_23859
example_vamb_bin_139	example_contig_47302
example_vamb_bin_139	example_contig_10686
example_vamb_bin_139	example_contig_26070
example_vamb_bin_139	example_contig_17283
example_vamb_bin_139	example_contig_11534
example_vamb_bin_139	example_contig_15032
example_vamb_bin_139	example_contig_2336
example_vamb_bin_139	example_contig_68315
example_vamb_bin_139	example_contig_31017
example_vamb_bin_139	example_contig_35805
example_vamb_bin_139	example_contig_23178
example_vamb_bin_139	example_contig_50744
example_vamb_bin_139	example_contig_63103
example_vamb_bin_139	example_contig_55073
example_vamb_bin_139	example_contig_40946
example_vamb_bin_139	example_contig_56445
example_vamb_bin_139	example_contig_41087
example_vamb_bin_139	example_contig_20922
example_vamb_bin_139	example_contig_69305
example_vamb_bin_139	example_contig_29646
example_vamb_bin_139	example_contig_44047
example_vamb_bin_139	example_contig_12045
example_vamb_bin_139	example_contig_29334
example_vamb_bin_139	example_contig_25957
example_vamb_bin_139	example_contig_38564
example_vamb_bin_139	example_contig_66243
example_vamb_bin_139	example_contig_42027
example_vamb_bin_139	example_contig_57221
example_vamb_bin_139	example_contig_11740
example_vamb_bin_139	example_contig_15135
example_vamb_bin_139	example_contig_25364
example_vamb_bin_139	example_contig_49469
example_vamb_bin_139	example_contig_51083
example_vamb_bin_139	example_contig_69812
example_vamb_bin_139	example_contig_60576
example_vamb_bin_139	example_contig_12365
example_vamb_bin_139	example_contig_34192
example_vamb_bin_139	example_contig_42554
example_vamb_bin_139	example_contig_7140
example_vamb_bin_139	example_contig_9309
example_vamb_bin_139	example_contig_6208
example_vamb_bin_139	example_contig_57111
example_vamb_bin_139	example_contig_35089
example_vamb_bin_139	example_contig_52677
example_vamb_bin_139	example_contig_16391
example_vamb_bin_139	example_contig_57809
example_vamb_bin_139	example_contig_45516
example_vamb_bin_139	example_contig_52416
example_vamb_bin_139	example_contig_1406
example_vamb_bin_139	example_contig_71098
example_vamb_bin_139	example_contig_61754
example_vamb_bin_139	example_contig_75253
example_vamb_bin_139	example_contig_16267
example_vamb_bin_139	example_contig_10763
example_vamb_bin_139	example_contig_8922
example_vamb_bin_139	example_contig_68727
example_vamb_bin_139	example_contig_8292
example_vamb_bin_139	example_contig_31135
example_vamb_bin_139	example_contig_12057
example_vamb_bin_139	example_contig_15927
example_vamb_bin_139	example_contig_70344
example_vamb_bin_139	example_contig_7068
example_vamb_bin_139	example_contig_6907
example_vamb_bin_139	example_contig_12322
example_vamb_bin_139	example_contig_32370
example_vamb_bin_139	example_contig_9945
example_vamb_bin_139	example_contig_51852
example_vamb_bin_139	example_contig_59974
example_vamb_bin_139	example_contig_1820
example_vamb_bin_139	example_contig_47866
example_vamb_bin_139	example_contig_26719
example_vamb_bin_139	example_contig_77114
example_vamb_bin_139	example_contig_26302
example_vamb_bin_139	example_contig_17169
example_vamb_bin_139	example_contig_50520
example_vamb_bin_139	example_contig_74571
example_vamb_bin_139	example_contig_14675
example_vamb_bin_139	example_contig_54587
example_vamb_bin_139	example_contig_61004
example_vamb_bin_139	example_contig_51782
example_vamb_bin_139	example_contig_44873
example_vamb_bin_139	example_contig_24651
example_vamb_bin_139	example_contig_13276
example_vamb_bin_139	example_contig_5898
example_vamb_bin_139	example_contig_37489
example_vamb_bin_139	example_contig_26085
example_vamb_bin_139	example_contig_71175
example_vamb_bin_139	example_contig_38247
example_vamb_bin_139	example_contig_10058
example_vamb_bin_139	example_contig_50614
example_vamb_bin_139	example_contig_30429
example_vamb_bin_139	example_contig_7527
example_vamb_bin_139	example_contig_63696
example_vamb_bin_139	example_contig_52112
example_vamb_bin_139	example_contig_53618
example_vamb_bin_139	example_contig_14236
example_vamb_bin_139	example_contig_71925
example_vamb_bin_139	example_contig_8072
example_vamb_bin_139	example_contig_36894
example_vamb_bin_139	example_contig_14324
example_vamb_bin_139	example_contig_73638
example_vamb_bin_139	example_contig_62981
example_vamb_bin_139	example_contig_78953
example_vamb_bin_139	example_contig_53313
example_vamb_bin_139	example_contig_51880
example_vamb_bin_139	example_contig_2059
example_vamb_bin_139	example_contig_64556
example_vamb_bin_139	example_contig_68489
example_vamb_bin_139	example_contig_78342
example_vamb_bin_139	example_contig_63571
example_vamb_bin_139	example_contig_28750
example_vamb_bin_139	example_contig_22245
example_vamb_bin_139	example_contig_80358
example_vamb_bin_139	example_contig_24219
example_vamb_bin_139	example_contig_55183
example_vamb_bin_139	example_contig_12484
example_vamb_bin_139	example_contig_14133
example_vamb_bin_139	example_contig_3428
example_vamb_bin_139	example_contig_34770
example_vamb_bin_139	example_contig_34569
example_vamb_bin_139	example_contig_79511
example_vamb_bin_139	example_contig_51018
example_vamb_bin_139	example_contig_12982
example_vamb_bin_139	example_contig_67640
example_vamb_bin_139	example_contig_55318
example_vamb_bin_139	example_contig_41326
example_vamb_bin_139	example_contig_42209
example_vamb_bin_139	example_contig_80904
example_vamb_bin_139	example_contig_30029
example_vamb_bin_139	example_contig_52445
example_vamb_bin_139	example_contig_78978
example_vamb_bin_144	example_contig_27588
example_vamb_bin_144	example_contig_8484
example_vamb_bin_144	example_contig_51470
example_vamb_bin_144	example_contig_65585
example_vamb_bin_144	example_contig_20887
example_vamb_bin_144	example_contig_23838
example_vamb_bin_144	example_contig_6229
example_vamb_bin_144	example_contig_28818
example_vamb_bin_150	example_contig_14045
example_vamb_bin_181	example_contig_19062
example_vamb_bin_254	example_contig_70242
example_vamb_bin_258	example_contig_73300
example_vamb_bin_278	example_contig_10089
example_vamb_bin_280	example_contig_21785
example_vamb_bin_280	example_contig_52915
example_vamb_bin_295	example_contig_56461
example_vamb_bin_295	example_contig_44895
example_vamb_bin_295	example_contig_234
example_vamb_bin_309	example_contig_4997
example_vamb_bin_328	example_contig_81047
example_vamb_bin_349	example_contig_27332
example_vamb_bin_434	example_contig_44539
example_vamb_bin_451	example_contig_5160
example_vamb_bin_460	example_contig_39460
example_vamb_bin_462	example_contig_46597
example_vamb_bin_472	example_contig_50870
example_vamb_bin_482	example_contig_21463
example_vamb_bin_490	example_contig_74070
example_vamb_bin_490	example_contig_55222
example_vamb_bin_490	example_contig_31896
example_vamb_bin_490	example_contig_53359
example_vamb_bin_490	example_contig_34609
example_vamb_bin_490	example_contig_37596
example_vamb_bin_490	example_contig_35414
example_vamb_bin_490	example_contig_20525
example_vamb_bin_490	example_contig_29123
example_vamb_bin_490	example_contig_52437
example_vamb_bin_490	example_contig_47456
example_vamb_bin_490	example_contig_23092
example_vamb_bin_490	example_contig_77997
example_vamb_bin_490	example_contig_21425
example_vamb_bin_490	example_contig_75171
example_vamb_bin_490	example_contig_13121
example_vamb_bin_490	example_contig_72381
example_vamb_bin_490	example_contig_33155
example_vamb_bin_490	example_contig_33388
example_vamb_bin_490	example_contig_28973
example_vamb_bin_490	example_contig_54220
example_vamb_bin_490	example_contig_21158
example_vamb_bin_490	example_contig_63864
example_vamb_bin_490	example_contig_52173
example_vamb_bin_490	example_contig_13193
example_vamb_bin_490	example_contig_39879
example_vamb_bin_490	example_contig_60559
example_vamb_bin_490	example_contig_30555
example_vamb_bin_490	example_contig_9359
example_vamb_bin_490	example_contig_30872
example_vamb_bin_490	example_contig_18416
example_vamb_bin_490	example_contig_29974
example_vamb_bin_490	example_contig_78104
example_vamb_bin_490	example_contig_48286
example_vamb_bin_490	example_contig_4783
example_vamb_bin_490	example_contig_25661
example_vamb_bin_490	example_contig_49857
example_vamb_bin_490	example_contig_5100
example_vamb_bin_490	example_contig_54002
example_vamb_bin_490	example_contig_29561
example_vamb_bin_490	example_contig_42189
example_vamb_bin_490	example_contig_35656
example_vamb_bin_490	example_contig_76193
example_vamb_bin_490	example_contig_70598
example_vamb_bin_490	example_contig_2143
example_vamb_bin_490	example_contig_63305
example_vamb_bin_490	example_contig_78515
example_vamb_bin_490	example_contig_61867
example_vamb_bin_490	example_contig_9934
example_vamb_bin_490	example_contig_76943
example_vamb_bin_490	example_contig_45988
example_vamb_bin_490	example_contig_70097
example_vamb_bin_490	example_contig_3882
example_vamb_bin_490	example_contig_35597
example_vamb_bin_490	example_contig_15246
example_vamb_bin_490	example_contig_67204
example_vamb_bin_490	example_contig_14036
example_vamb_bin_490	example_contig_40009
example_vamb_bin_490	example_contig_63536
example_vamb_bin_490	example_contig_65110
example_vamb_bin_490	example_contig_12006
example_vamb_bin_490	example_contig_29486
example_vamb_bin_490	example_contig_78008
example_vamb_bin_490	example_contig_9613
example_vamb_bin_490	example_contig_72178
example_vamb_bin_490	example_contig_79734
example_vamb_bin_490	example_contig_18986
example_vamb_bin_490	example_contig_17351
example_vamb_bin_490	example_contig_18473
example_vamb_bin_490	example_contig_57567
example_vamb_bin_490	example_contig_78318
example_vamb_bin_490	example_contig_58140
example_vamb_bin_490	example_contig_74125
example_vamb_bin_490	example_contig_56923
example_vamb_bin_490	example_contig_31992
example_vamb_bin_490	example_contig_42625
example_vamb_bin_490	example_contig_64314
example_vamb_bin_490	example_contig_65773
example_vamb_bin_490	example_contig_50082
example_vamb_bin_490	example_contig_20430
example_vamb_bin_490	example_contig_12228
example_vamb_bin_490	example_contig_77851
example_vamb_bin_490	example_contig_3443
example_vamb_bin_490	example_contig_44269
example_vamb_bin_490	example_contig_26069
example_vamb_bin_490	example_contig_26943
example_vamb_bin_490	example_contig_24819
example_vamb_bin_490	example_contig_79580
example_vamb_bin_490	example_contig_67089
example_vamb_bin_490	example_contig_43044
example_vamb_bin_490	example_contig_73247
example_vamb_bin_490	example_contig_3055
example_vamb_bin_490	example_contig_43091
example_vamb_bin_490	example_contig_29902
example_vamb_bin_490	example_contig_59278
example_vamb_bin_490	example_contig_56226
example_vamb_bin_490	example_contig_57061
example_vamb_bin_490	example_contig_16313
example_vamb_bin_490	example_contig_26980
example_vamb_bin_490	example_contig_13756
example_vamb_bin_490	example_contig_2995
example_vamb_bin_490	example_contig_38461
example_vamb_bin_490	example_contig_47301
example_vamb_bin_490	example_contig_75472
example_vamb_bin_490	example_contig_38611
example_vamb_bin_490	example_contig_37952
example_vamb_bin_490	example_contig_5107
example_vamb_bin_490	example_contig_401
example_vamb_bin_490	example_contig_75068
example_vamb_bin_490	example_contig_70812
example_vamb_bin_490	example_contig_64252
example_vamb_bin_490	example_contig_55229
example_vamb_bin_490	example_contig_27374
example_vamb_bin_490	example_contig_55704
example_vamb_bin_490	example_contig_74047
example_vamb_bin_490	example_contig_31663
